timestamp,VOLCANIC_ROCK,VOLCANIC_ROCK_VOUCHER_9500,VOLCANIC_ROCK_VOUCHER_9750,VOLCANIC_ROCK_VOUCHER_10000,VOLCANIC_ROCK_VOUCHER_10250,VOLCANIC_ROCK_VOUCHER_10500
0,10218.5,718.5,469.5,233.5,63.5,8.5
100,10217.5,718.0,469.0,234.5,62.5,8.5
200,10222.0,722.5,473.5,235.5,64.5,9.5
300,10223.0,723.5,474.5,235.5,65.5,9.5
400,10217.0,717.5,468.5,234.5,62.5,8.5
500,10216.5,717.0,468.5,229.5,62.5,8.5
600,10215.0,715.5,466.5,229.5,62.5,8.5
700,10219.5,719.5,470.5,232.5,63.5,8.5
800,10221.0,721.5,472.5,235.5,64.5,8.5
900,10217.5,717.5,469.5,231.5,62.5,8.5
1000,10217.0,717.5,468.5,230.5,62.5,8.5
1100,10217.0,717.5,468.5,231.5,62.5,8.5
1200,10216.5,716.5,467.5,230.5,62.5,8.5
1300,10217.0,717.5,469.5,230.5,62.5,8.5
1400,10218.0,718.5,469.5,230.5,63.5,8.5
1500,10218.0,718.5,469.5,231.5,63.5,8.5
1600,10219.5,720.0,471.5,233.5,63.5,8.5
1700,10217.0,717.5,468.5,234.5,62.5,8.5
1800,10219.5,719.5,470.5,230.5,63.5,8.5
1900,10224.5,724.5,476.5,237.5,66.5,9.5
2000,10223.0,723.5,474.5,237.5,65.5,9.5
2100,10224.0,724.5,475.5,239.5,65.5,9.5
2200,10224.5,724.5,476.5,234.5,65.5,9.5
2300,10224.0,724.5,474.5,236.5,65.5,9.5
2400,10219.5,719.5,470.5,232.5,63.5,8.5
2500,10221.5,721.5,473.5,237.5,64.5,9.5
2600,10221.0,721.5,472.5,237.5,64.5,8.5
2700,10220.5,720.5,472.0,232.5,64.5,8.5
2800,10221.0,721.5,472.5,234.5,64.5,9.5
2900,10223.0,723.5,474.5,235.5,65.5,9.5
3000,10228.0,728.5,479.5,240.5,67.5,9.5
3100,10226.5,726.5,478.0,240.5,66.5,9.5
3200,10223.0,723.5,474.5,234.5,65.5,9.5
3300,10224.0,724.5,475.5,236.5,65.5,9.5
3400,10220.0,720.5,471.5,234.5,64.5,8.5
3500,10222.0,722.0,473.0,234.0,64.0,9.0
3600,10221.5,721.5,472.5,234.0,64.5,9.5
3700,10221.5,721.5,472.5,236.5,64.5,9.5
3800,10217.5,718.0,469.5,232.5,62.5,8.5
3900,10217.5,718.0,469.5,233.5,63.5,8.5
4000,10218.0,718.5,469.5,231.5,63.5,8.5
4100,10217.5,717.5,468.5,232.5,63.5,8.5
4200,10214.5,714.5,465.5,227.5,61.5,8.5
4300,10214.0,714.5,465.5,226.5,61.5,8.5
4400,10216.5,716.5,467.5,230.5,62.5,8.5
4500,10215.5,715.5,467.5,231.5,62.5,8.5
4600,10215.0,715.5,466.5,228.5,61.5,8.5
4700,10214.0,714.5,465.5,228.5,61.5,8.5
4800,10216.0,716.5,467.5,231.5,62.5,8.5
4900,10216.0,716.5,466.5,229.5,62.5,8.5
5000,10216.0,716.5,467.0,227.5,62.5,8.5
5100,10215.0,715.5,467.5,230.5,62.5,8.5
5200,10217.5,718.0,468.5,230.5,63.5,8.5
5300,10218.0,718.5,469.5,233.5,63.5,8.5
5400,10220.5,720.5,471.5,237.5,64.5,8.5
5500,10221.5,721.5,472.5,238.5,64.5,9.5
5600,10222.0,722.5,473.5,234.5,65.0,9.5
5700,10221.5,721.5,473.5,234.5,64.5,9.5
5800,10221.0,721.5,472.5,236.5,64.5,9.5
5900,10223.0,723.5,474.5,234.5,65.5,9.5
6000,10224.5,725.0,476.5,240.5,66.5,9.5
6100,10224.0,724.5,475.5,236.5,65.5,9.5
6200,10225.5,726.5,477.5,239.5,66.5,9.5
6300,10228.0,728.5,478.5,242.5,67.5,9.5
6400,10226.0,726.5,477.5,238.5,66.5,9.5
6500,10228.0,728.5,480.5,242.5,67.5,9.5
6600,10228.0,728.5,479.5,238.5,67.5,9.5
6700,10226.0,726.5,478.5,241.5,66.5,9.5
6800,10225.5,726.0,477.5,242.5,66.5,9.5
6900,10224.5,724.5,476.5,238.5,66.0,9.5
7000,10224.5,725.0,476.5,240.5,66.5,9.5
7100,10226.0,726.5,477.5,240.5,66.5,9.5
7200,10228.5,728.5,479.5,239.5,67.5,9.5
7300,10229.5,729.5,480.5,240.5,68.5,9.5
7400,10227.5,727.5,478.5,242.0,67.5,9.5
7500,10229.5,729.5,480.5,239.5,68.5,9.5
7600,10227.0,727.5,478.5,238.5,67.5,9.5
