timestamp,VOLCANIC_ROCK,VOLCANIC_ROCK_VOUCHER_9500,VOLCANIC_ROCK_VOUCHER_9750,VOLCANIC_ROCK_VOUCHER_10000,VOLCANIC_ROCK_VOUCHER_10250,VOLCANIC_ROCK_VOUCHER_10500
0,10503.0,1003.5,754.5,505.5,273.5,99.5
100,10510.0,1010.5,761.5,515.5,279.5,102.5
200,10513.0,1013.5,764.5,516.5,282.5,104.5
300,10517.5,1018.0,768.5,521.5,285.5,106.5
400,10509.5,1010.0,760.5,512.5,279.5,102.5
500,10506.0,1006.5,757.0,510.5,276.5,100.5
600,10503.5,1004.5,754.5,506.5,273.5,99.5
700,10503.0,1003.5,753.5,507.5,273.5,98.5
800,10497.5,997.5,747.5,500.5,268.5,96.5
900,10495.5,995.5,746.5,498.5,266.5,95.5
1000,10499.0,999.5,750.5,503.5,269.5,96.5
1100,10501.0,1001.5,751.5,504.5,271.5,97.5
1200,10504.5,1005.5,755.5,507.5,274.5,99.5
1300,10510.0,1010.5,760.5,514.5,279.5,102.5
1400,10510.0,1010.0,760.5,514.0,279.5,102.5
1500,10504.5,1004.5,755.5,507.5,274.5,99.5
1600,10504.5,1005.0,755.5,507.5,274.5,99.5
1700,10499.0,999.5,749.5,502.5,269.5,96.5
1800,10497.5,997.5,748.5,501.5,268.5,96.5
1900,10493.5,993.5,744.0,496.5,264.5,93.5
2000,10493.0,993.5,743.5,496.5,264.5,93.5
2100,10488.5,988.5,739.5,491.5,260.5,91.5
2200,10485.5,985.5,736.5,489.5,258.5,90.5
2300,10491.5,991.5,742.5,494.5,263.5,93.5
2400,10486.0,986.5,737.0,489.5,258.5,90.5
2500,10480.5,980.5,731.5,483.5,254.5,88.5
2600,10475.0,975.5,726.0,479.5,249.5,85.5
2700,10464.5,965.0,715.5,469.5,241.5,81.0
2800,10472.5,972.5,724.0,477.5,247.5,84.5
2900,10473.0,973.5,723.5,476.5,248.5,84.5
3000,10478.5,978.5,729.5,482.5,252.5,87.5
3100,10473.5,973.5,724.5,478.5,248.5,85.5
3200,10479.0,979.5,730.0,483.5,253.5,87.5
3300,10479.5,979.5,730.5,482.5,253.5,87.5
3400,10480.0,980.5,730.5,483.5,253.5,87.5
3500,10489.0,989.5,740.5,492.5,261.5,92.5
3600,10484.0,984.5,735.5,487.5,257.5,89.5
3700,10483.0,983.5,733.5,486.5,256.5,89.5
3800,10483.5,983.5,734.5,486.5,256.5,89.5
3900,10482.0,982.5,733.0,487.5,255.5,88.5
4000,10475.5,976.5,726.5,479.5,250.5,86.5
4100,10472.5,973.0,723.5,475.5,247.5,84.5
4200,10466.5,966.0,717.0,470.5,242.0,81.0
4300,10464.5,965.0,715.5,470.5,241.5,81.5
4400,10458.5,959.0,709.5,463.5,236.5,78.5
4500,10458.0,958.5,708.5,461.5,235.5,77.5
4600,10451.5,951.5,702.5,456.5,230.5,75.5
4700,10457.5,958.5,708.5,462.5,235.5,77.5
4800,10464.0,964.5,714.5,467.5,240.5,80.5
4900,10464.5,965.0,715.5,468.5,240.5,80.5
5000,10462.5,963.0,713.5,467.5,239.5,79.5
5100,10453.0,953.5,703.5,456.5,231.5,75.5
5200,10455.0,955.5,706.5,460.5,233.5,76.5
5300,10451.0,951.5,702.5,455.5,229.5,74.5
5400,10450.0,950.5,701.5,454.5,229.5,74.5
5500,10441.0,941.5,691.5,446.5,221.5,70.5
5600,10445.5,946.0,696.5,451.5,225.5,72.5
5700,10444.0,944.5,694.5,449.5,224.5,71.5
5800,10439.5,939.5,690.5,445.0,220.5,70.5
5900,10431.5,932.0,682.5,438.5,214.5,66.5
6000,10445.0,945.5,696.5,450.5,225.0,72.5
6100,10440.5,940.5,691.5,444.5,221.5,70.5
6200,10447.0,947.5,697.5,452.5,226.5,72.5
6300,10440.5,941.5,691.5,446.5,221.5,70.5
6400,10442.5,942.5,693.5,447.0,222.5,71.5
6500,10443.5,943.5,694.5,448.5,223.5,71.5
6600,10440.0,940.5,690.5,446.5,220.5,70.5
6700,10426.0,926.5,677.0,432.5,209.5,64.5
6800,10432.5,932.5,683.5,437.5,214.5,67.5
6900,10433.0,933.5,683.5,438.5,215.5,67.5
7000,10431.5,931.5,682.5,437.5,214.5,66.5
7100,10435.0,935.5,686.5,440.5,216.5,68.5
7200,10438.5,938.5,689.5,445.5,219.5,69.5
7300,10437.0,937.5,688.0,444.5,218.5,69.5
7400,10438.5,939.0,689.5,443.5,219.5,69.5
7500,10441.5,942.0,692.5,445.5,221.5,70.5
7600,10441.5,942.0,692.5,446.5,221.5,70.5
7700,10436.0,936.5,687.5,440.5,217.5,68.5
7800,10440.5,941.0,691.5,446.5,221.5,70.5
7900,10447.5,947.5,698.5,453.5,226.5,73.5
8000,10442.5,943.5,693.5,449.5,223.5,71.5
8100,10447.5,947.5,698.5,452.5,226.5,73.5
8200,10451.0,951.5,701.5,455.5,229.5,74.5
8300,10440.5,941.5,691.5,445.5,221.5,70.5
8400,10444.5,945.0,695.5,448.5,224.5,71.5
8500,10447.0,947.5,697.5,452.5,226.5,72.5
8600,10441.0,941.5,692.5,446.5,221.5,70.5
8700,10436.5,936.5,687.5,440.5,217.5,68.5
8800,10432.5,932.5,683.5,438.5,214.5,66.5
8900,10431.0,931.5,682.5,436.5,213.5,66.5
9000,10432.0,932.5,682.5,438.5,214.5,66.5
9100,10423.5,924.5,675.0,429.5,207.5,63.5
9200,10424.5,924.5,675.5,431.5,207.5,63.5
9300,10422.5,922.5,673.5,428.5,206.5,62.5
9400,10425.5,925.5,676.5,430.5,208.5,63.5
9500,10425.5,925.5,676.5,431.5,208.5,63.5
9600,10431.5,932.5,682.5,437.5,213.5,66.5
9700,10426.0,926.5,676.5,432.5,209.5,63.5
9800,10428.0,928.5,679.5,433.5,210.5,64.5
9900,10427.0,927.5,677.5,431.5,209.5,63.5
10000,10419.5,920.0,670.5,427.0,203.5,61.5
10100,10425.0,925.5,676.5,429.5,208.5,63.5
10200,10421.0,921.5,672.0,426.5,204.5,61.5
10300,10422.5,922.5,673.5,426.5,205.5,62.5
10400,10425.0,925.5,676.5,428.5,208.5,63.5
10500,10427.0,927.5,677.5,431.5,209.5,63.5
10600,10431.5,931.5,682.5,437.5,212.5,65.5
10700,10428.0,928.5,679.0,434.5,210.5,64.5
10800,10434.0,934.5,684.5,440.5,214.5,66.5
10900,10439.0,939.5,689.5,444.5,218.5,68.0
11000,10447.5,948.0,698.5,452.5,225.5,71.5
11100,10439.0,939.5,689.5,443.5,218.5,68.5
11200,10447.5,948.5,698.5,452.5,225.5,71.5
11300,10443.0,943.5,693.5,446.5,221.5,69.5
11400,10449.0,949.5,700.0,452.5,227.0,72.5
11500,10447.0,947.5,697.5,451.5,225.5,71.5
11600,10444.0,944.5,694.5,449.5,223.0,70.5
11700,10439.5,939.5,690.5,444.5,219.5,68.5
11800,10435.5,936.0,686.5,440.5,216.5,67.5
11900,10428.5,928.5,679.5,432.5,210.5,64.5
