timestamp,day,VOLCANIC_ROCK,VOLCANIC_ROCK_VOUCHER_9500,VOLCANIC_ROCK_VOUCHER_9750,VOLCANIC_ROCK_VOUCHER_10000,VOLCANIC_ROCK_VOUCHER_10250,VOLCANIC_ROCK_VOUCHER_10500
0,3,10166.0,666.5,417.5,182.5,36.5,3.5
100,3,10164.5,664.5,416.5,180.5,35.5,3.5
200,3,10169.0,669.5,420.5,184.5,37.5,3.5
300,3,10169.5,669.5,420.5,184.5,37.5,3.5
400,3,10172.0,672.0,423.5,188.5,38.5,3.5
500,3,10170.0,670.5,421.5,185.5,37.5,3.5
600,3,10170.5,670.5,421.5,187.5,37.5,3.5
700,3,10170.0,670.5,421.5,185.5,37.5,3.5
800,3,10170.5,670.5,422.5,188.5,37.5,3.5
900,3,10175.0,675.5,426.5,188.5,39.5,3.5
1000,3,10175.0,675.5,426.5,189.5,39.5,3.5
1100,3,10172.5,672.5,423.5,188.5,38.5,3.5
1200,3,10169.0,669.5,420.5,182.5,37.5,3.5
1300,3,10170.5,670.5,422.5,187.5,37.5,3.5
1400,3,10170.5,670.5,421.5,188.0,37.5,3.5
1500,3,10174.0,674.0,425.5,189.5,38.5,3.5
1600,3,10172.5,673.0,424.5,189.5,38.5,3.5
1700,3,10172.5,672.5,424.5,188.5,38.5,3.5
1800,3,10174.5,675.0,426.5,191.5,39.5,3.5
1900,3,10172.5,673.5,425.5,188.5,38.5,3.5
2000,3,10174.5,674.5,425.5,191.5,39.5,3.5
2100,3,10175.5,675.5,426.5,189.5,39.5,3.5
2200,3,10172.5,672.5,423.5,186.5,38.5,3.5
2300,3,10173.0,673.5,424.5,187.5,38.5,3.5
2400,3,10172.0,672.5,422.5,189.5,38.5,3.5
2500,3,10172.5,672.5,424.5,188.5,38.5,3.5
2600,3,10168.0,668.5,419.0,187.5,37.5,3.5
2700,3,10164.0,664.5,416.5,179.5,35.5,3.5
2800,3,10163.5,664.0,415.0,181.5,35.5,3.5
2900,3,10163.5,663.5,414.5,180.5,35.5,3.5
3000,3,10165.5,665.5,416.5,184.5,36.5,3.5
3100,3,10169.0,668.5,420.5,184.5,37.5,3.5
3200,3,10166.5,666.5,417.5,185.5,36.5,3.5
3300,3,10166.0,666.5,417.5,182.5,36.5,3.5
3400,3,10165.0,665.5,416.0,180.5,36.5,3.5
3500,3,10163.5,663.5,414.5,179.5,35.5,3.5
3600,3,10162.0,662.0,413.5,176.5,35.5,3.5
3700,3,10158.5,658.5,410.5,178.5,34.5,3.5
3800,3,10166.5,666.5,417.5,179.5,36.5,3.5
