day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
1,0,JAMS,6541.0,237.0,,,,,6543,237,,,,,6542.0,0.0
1,100,JAMS,6541.0,189.0,,,,,6543,189,,,,,6542.0,0.0
1,200,JAMS,6542.0,87.0,6541.0,111.0,,,6543,98,6544.0,111.0,,,6542.5,0.0
1,300,JAMS,6541.0,234.0,,,,,6543,234,,,,,6542.0,0.0
1,400,JAMS,6540.0,211.0,,,,,6542,211,,,,,6541.0,0.0
1,500,JAMS,6541.0,81.0,6540.0,111.0,,,6542,81,6543.0,111.0,,,6541.5,0.0
1,600,JAMS,6541.0,174.0,,,,,6543,174,,,,,6542.0,0.0
1,700,JAMS,6542.0,54.0,6541.0,140.0,,,6543,60,6544.0,140.0,,,6542.5,0.0
1,800,JAMS,6542.0,66.0,6541.0,198.0,,,6543,66,6544.0,198.0,,,6542.5,0.0
1,900,JAMS,6542.0,51.0,6541.0,164.0,,,6543,51,6544.0,164.0,,,6542.5,0.0
1,1000,JAMS,6543.0,278.0,,,,,6545,278,,,,,6544.0,0.0
1,1100,JAMS,6542.0,264.0,,,,,6544,264,,,,,6543.0,0.0
1,1200,JAMS,6542.0,81.0,6541.0,104.0,,,6543,81,6544.0,104.0,,,6542.5,0.0
1,1300,JAMS,6542.0,70.0,6541.0,130.0,,,6543,70,6544.0,130.0,,,6542.5,0.0
1,1400,JAMS,6542.0,100.0,6541.0,187.0,,,6543,100,6544.0,187.0,,,6542.5,0.0
1,1500,JAMS,6542.0,52.0,6541.0,144.0,,,6543,62,6544.0,144.0,,,6542.5,0.0
1,1600,JAMS,6542.0,59.0,6541.0,113.0,,,6543,63,6544.0,113.0,,,6542.5,0.0
1,1700,JAMS,6542.0,97.0,6541.0,137.0,,,6543,97,6544.0,137.0,,,6542.5,0.0
1,1800,JAMS,6542.0,97.0,6541.0,128.0,,,6543,97,6544.0,128.0,,,6542.5,0.0
1,1900,JAMS,6541.0,293.0,,,,,6543,293,,,,,6542.0,0.0
1,2000,JAMS,6541.0,267.0,,,,,6543,267,,,,,6542.0,0.0
1,2100,JAMS,6541.0,251.0,,,,,6543,251,,,,,6542.0,0.0
1,2200,JAMS,6542.0,53.0,6541.0,165.0,,,6543,53,6544.0,165.0,,,6542.5,0.0
1,2300,JAMS,6542.0,100.0,6541.0,178.0,,,6543,100,6544.0,178.0,,,6542.5,0.0
1,2400,JAMS,6542.0,206.0,,,,,6544,206,,,,,6543.0,0.0
1,2500,JAMS,6542.0,99.0,6541.0,116.0,,,6543,99,6544.0,116.0,,,6542.5,0.0
1,2600,JAMS,6542.0,254.0,,,,,6544,254,,,,,6543.0,0.0
1,2700,JAMS,6542.0,184.0,,,,,6544,184,,,,,6543.0,0.0
1,2800,JAMS,6542.0,77.0,6541.0,167.0,,,6543,77,6544.0,167.0,,,6542.5,0.0
1,2900,JAMS,6542.0,252.0,,,,,6544,252,,,,,6543.0,0.0
1,3000,JAMS,6543.0,210.0,,,,,6545,210,,,,,6544.0,0.0
1,3100,JAMS,6543.0,184.0,,,,,6545,184,,,,,6544.0,0.0
1,3200,JAMS,6543.0,207.0,,,,,6545,207,,,,,6544.0,0.0
1,3300,JAMS,6543.0,72.0,6542.0,125.0,,,6544,72,6545.0,125.0,,,6543.5,0.0
1,3400,JAMS,6543.0,99.0,6542.0,100.0,,,6544,87,6545.0,100.0,,,6543.5,0.0
1,3500,JAMS,6544.0,215.0,,,,,6546,215,,,,,6545.0,0.0
1,3600,JAMS,6543.0,191.0,,,,,6545,191,,,,,6544.0,0.0
1,3700,JAMS,6543.0,213.0,,,,,6545,213,,,,,6544.0,0.0
1,3800,JAMS,6543.0,234.0,,,,,6545,234,,,,,6544.0,0.0
1,3900,JAMS,6542.0,187.0,,,,,6544,187,,,,,6543.0,0.0
1,4000,JAMS,6542.0,194.0,,,,,6544,194,,,,,6543.0,0.0
1,4100,JAMS,6542.0,239.0,,,,,6544,239,,,,,6543.0,0.0
1,4200,JAMS,6542.0,206.0,,,,,6544,206,,,,,6543.0,0.0
1,4300,JAMS,6542.0,208.0,,,,,6544,208,,,,,6543.0,0.0
1,4400,JAMS,6542.0,278.0,,,,,6543,6,6544.0,278.0,,,6542.5,0.0
1,4500,JAMS,6542.0,281.0,,,,,6544,281,,,,,6543.0,0.0
1,4600,JAMS,6542.0,182.0,,,,,6544,191,,,,,6543.0,0.0
1,4700,JAMS,6542.0,210.0,,,,,6544,210,,,,,6543.0,0.0
1,4800,JAMS,6542.0,228.0,,,,,6544,228,,,,,6543.0,0.0
1,4900,JAMS,6542.0,182.0,,,,,6544,182,,,,,6543.0,0.0
1,5000,JAMS,6542.0,222.0,,,,,6544,222,,,,,6543.0,0.0
1,5100,JAMS,6542.0,169.0,,,,,6544,169,,,,,6543.0,0.0
1,5200,JAMS,6542.0,73.0,6541.0,128.0,,,6543,73,6544.0,128.0,,,6542.5,0.0
1,5300,JAMS,6541.0,90.0,6540.0,155.0,,,6542,90,6543.0,155.0,,,6541.5,0.0
1,5400,JAMS,6540.0,296.0,,,,,6542,296,,,,,6541.0,0.0
1,5500,JAMS,6540.0,205.0,,,,,6542,214,,,,,6541.0,0.0
1,5600,JAMS,6540.0,258.0,,,,,6542,258,,,,,6541.0,0.0
1,5700,JAMS,6540.0,178.0,,,,,6542,178,,,,,6541.0,0.0
1,5800,JAMS,6540.0,243.0,,,,,6542,243,,,,,6541.0,0.0
1,5900,JAMS,6540.0,220.0,,,,,6542,220,,,,,6541.0,0.0
1,6000,JAMS,6540.0,188.0,,,,,6542,188,,,,,6541.0,0.0
1,6100,JAMS,6540.0,235.0,,,,,6542,235,,,,,6541.0,0.0
1,6200,JAMS,6540.0,292.0,,,,,6542,280,,,,,6541.0,0.0
1,6300,JAMS,6540.0,228.0,,,,,6542,228,,,,,6541.0,0.0
1,6400,JAMS,6540.0,192.0,,,,,6541,6,6542.0,192.0,,,6540.5,0.0
1,6500,JAMS,6540.0,186.0,,,,,6542,186,,,,,6541.0,0.0
1,6600,JAMS,6540.0,81.0,6539.0,110.0,,,6541,81,6542.0,110.0,,,6540.5,0.0
1,6700,JAMS,6540.0,73.0,6539.0,198.0,,,6541,73,6542.0,198.0,,,6540.5,0.0
1,6800,JAMS,6540.0,232.0,,,,,6542,232,,,,,6541.0,0.0
1,6900,JAMS,6541.0,56.0,6540.0,198.0,,,6542,50,6543.0,198.0,,,6541.5,0.0
1,7000,JAMS,6541.0,73.0,6540.0,119.0,,,6542,73,6543.0,119.0,,,6541.5,0.0
1,7100,JAMS,6540.0,229.0,,,,,6542,229,,,,,6541.0,0.0
1,7200,JAMS,6540.0,217.0,,,,,6542,217,,,,,6541.0,0.0
1,7300,JAMS,6540.0,227.0,,,,,6542,227,,,,,6541.0,0.0
1,7400,JAMS,6540.0,245.0,,,,,6542,245,,,,,6541.0,0.0
1,7500,JAMS,6540.0,55.0,6539.0,158.0,,,6541,55,6542.0,158.0,,,6540.5,0.0
1,7600,JAMS,6539.0,204.0,,,,,6541,204,,,,,6540.0,0.0
1,7700,JAMS,6539.0,227.0,,,,,6541,227,,,,,6540.0,0.0
1,7800,JAMS,6538.0,187.0,,,,,6540,187,,,,,6539.0,0.0
1,7900,JAMS,6539.0,74.0,6538.0,148.0,,,6540,74,6541.0,148.0,,,6539.5,0.0
1,8000,JAMS,6538.0,257.0,,,,,6540,257,,,,,6539.0,0.0
1,8100,JAMS,6538.0,233.0,,,,,6540,233,,,,,6539.0,0.0
1,8200,JAMS,6538.0,227.0,,,,,6540,227,,,,,6539.0,0.0
1,8300,JAMS,6538.0,231.0,,,,,6540,231,,,,,6539.0,0.0
1,8400,JAMS,6538.0,51.0,6537.0,153.0,,,6539,51,6540.0,153.0,,,6538.5,0.0
1,8500,JAMS,6538.0,248.0,,,,,6540,251,,,,,6539.0,0.0
1,8600,JAMS,6539.0,236.0,,,,,6541,236,,,,,6540.0,0.0
1,8700,JAMS,6539.0,207.0,,,,,6541,207,,,,,6540.0,0.0
1,8800,JAMS,6540.0,55.0,6539.0,169.0,,,6541,55,6542.0,169.0,,,6540.5,0.0
1,8900,JAMS,6539.0,285.0,,,,,6541,285,,,,,6540.0,0.0
1,9000,JAMS,6539.0,237.0,,,,,6541,237,,,,,6540.0,0.0
1,9100,JAMS,6539.0,237.0,,,,,6541,237,,,,,6540.0,0.0
1,9200,JAMS,6539.0,292.0,,,,,6541,292,,,,,6540.0,0.0
1,9300,JAMS,6539.0,103.0,6538.0,133.0,,,6540,94,6541.0,133.0,,,6539.5,0.0
1,9400,JAMS,6539.0,96.0,6538.0,153.0,,,6540,96,6541.0,153.0,,,6539.5,0.0
1,9500,JAMS,6538.0,191.0,,,,,6540,191,,,,,6539.0,0.0
1,9600,JAMS,6538.0,259.0,,,,,6540,259,,,,,6539.0,0.0
1,9700,JAMS,6538.0,209.0,,,,,6539,75,6540.0,134.0,,,6538.5,0.0
1,9800,JAMS,6538.0,79.0,6537.0,135.0,,,6539,214,,,,,6538.5,0.0
1,9900,JAMS,6538.0,250.0,,,,,6540,250,,,,,6539.0,0.0
1,10000,JAMS,6538.0,225.0,,,,,6540,225,,,,,6539.0,0.0
1,10100,JAMS,6538.0,211.0,,,,,6540,211,,,,,6539.0,0.0
1,10200,JAMS,6538.0,261.0,,,,,6540,268,,,,,6539.0,0.0
1,10300,JAMS,6538.0,198.0,,,,,6540,198,,,,,6539.0,0.0
1,10400,JAMS,6538.0,193.0,,,,,6540,193,,,,,6539.0,0.0
1,10500,JAMS,6539.0,69.0,6538.0,125.0,,,6540,194,,,,,6539.5,0.0
1,10600,JAMS,6539.0,96.0,6538.0,156.0,,,6540,96,6541.0,156.0,,,6539.5,0.0
1,10700,JAMS,6538.0,65.0,6537.0,167.0,,,6539,65,6540.0,167.0,,,6538.5,0.0
1,10800,JAMS,6538.0,266.0,,,,,6540,266,,,,,6539.0,0.0
1,10900,JAMS,6539.0,240.0,,,,,6541,240,,,,,6540.0,0.0
1,11000,JAMS,6540.0,84.0,6539.0,193.0,,,6541,84,6542.0,193.0,,,6540.5,0.0
1,11100,JAMS,6540.0,50.0,6539.0,177.0,,,6541,50,6542.0,177.0,,,6540.5,0.0
1,11200,JAMS,6541.0,175.0,,,,,6543,175,,,,,6542.0,0.0
1,11300,JAMS,6541.0,243.0,,,,,6543,232,,,,,6542.0,0.0
1,11400,JAMS,6540.0,192.0,,,,,6542,192,,,,,6541.0,0.0
1,11500,JAMS,6540.0,244.0,,,,,6542,244,,,,,6541.0,0.0
1,11600,JAMS,6540.0,229.0,,,,,6542,229,,,,,6541.0,0.0
1,11700,JAMS,6541.0,61.0,6540.0,193.0,,,6542,61,6543.0,193.0,,,6541.5,0.0
1,11800,JAMS,6541.0,58.0,6540.0,191.0,,,6542,58,6543.0,191.0,,,6541.5,0.0
1,11900,JAMS,6541.0,96.0,6540.0,116.0,,,6542,96,6543.0,116.0,,,6541.5,0.0
1,12000,JAMS,6541.0,96.0,6540.0,146.0,,,6542,96,6543.0,146.0,,,6541.5,0.0
1,12100,JAMS,6541.0,81.0,6540.0,129.0,,,6542,81,6543.0,129.0,,,6541.5,0.0
1,12200,JAMS,6542.0,261.0,,,,,6544,261,,,,,6543.0,0.0
1,12300,JAMS,6543.0,68.0,6542.0,171.0,,,6544,68,6545.0,171.0,,,6543.5,0.0
1,12400,JAMS,6543.0,98.0,6542.0,174.0,,,6544,98,6545.0,174.0,,,6543.5,0.0
1,12500,JAMS,6543.0,96.0,6542.0,196.0,,,6544,96,6545.0,196.0,,,6543.5,0.0
1,12600,JAMS,6542.0,225.0,,,,,6544,225,,,,,6543.0,0.0
1,12700,JAMS,6542.0,269.0,,,,,6544,269,,,,,6543.0,0.0
1,12800,JAMS,6542.0,242.0,,,,,6544,242,,,,,6543.0,0.0
1,12900,JAMS,6542.0,189.0,,,,,6544,189,,,,,6543.0,0.0
1,13000,JAMS,6542.0,205.0,,,,,6544,205,,,,,6543.0,0.0
1,13100,JAMS,6542.0,266.0,,,,,6544,266,,,,,6543.0,0.0
1,13200,JAMS,6542.0,194.0,,,,,6544,194,,,,,6543.0,0.0
1,13300,JAMS,6542.0,268.0,,,,,6543,10,6544.0,268.0,,,6542.5,0.0
1,13400,JAMS,6543.0,105.0,6542.0,153.0,,,6544,99,6545.0,153.0,,,6543.5,0.0
1,13500,JAMS,6541.0,233.0,,,,,6543,233,,,,,6542.0,0.0
1,13600,JAMS,6541.0,74.0,6540.0,158.0,,,6542,74,6543.0,158.0,,,6541.5,0.0
1,13700,JAMS,6541.0,68.0,6540.0,112.0,,,6542,80,6543.0,112.0,,,6541.5,0.0
1,13800,JAMS,6541.0,58.0,6540.0,194.0,,,6542,58,6543.0,194.0,,,6541.5,0.0
1,13900,JAMS,6540.0,202.0,,,,,6542,202,,,,,6541.0,0.0
1,14000,JAMS,6540.0,225.0,,,,,6542,225,,,,,6541.0,0.0
1,14100,JAMS,6540.0,234.0,,,,,6542,234,,,,,6541.0,0.0
1,14200,JAMS,6540.0,257.0,,,,,6542,257,,,,,6541.0,0.0
1,14300,JAMS,6541.0,59.0,6540.0,187.0,,,6542,59,6543.0,187.0,,,6541.5,0.0
1,14400,JAMS,6541.0,84.0,6540.0,170.0,,,6542,84,6543.0,170.0,,,6541.5,0.0
1,14500,JAMS,6541.0,7.0,6540.0,221.0,,,6542,221,,,,,6541.5,0.0
1,14600,JAMS,6540.0,219.0,,,,,6541,4,6542.0,219.0,,,6540.5,0.0
1,14700,JAMS,6540.0,252.0,,,,,6542,255,,,,,6541.0,0.0
1,14800,JAMS,6540.0,252.0,,,,,6542,252,,,,,6541.0,0.0
1,14900,JAMS,6541.0,71.0,6540.0,193.0,,,6542,71,6543.0,193.0,,,6541.5,0.0
1,15000,JAMS,6541.0,271.0,,,,,6543,271,,,,,6542.0,0.0
1,15100,JAMS,6541.0,235.0,,,,,6543,235,,,,,6542.0,0.0
1,15200,JAMS,6541.0,238.0,,,,,6543,238,,,,,6542.0,0.0
1,15300,JAMS,6540.0,206.0,,,,,6542,206,,,,,6541.0,0.0
1,15400,JAMS,6540.0,180.0,,,,,6542,180,,,,,6541.0,0.0
1,15500,JAMS,6540.0,233.0,,,,,6542,233,,,,,6541.0,0.0
1,15600,JAMS,6540.0,195.0,,,,,6542,195,,,,,6541.0,0.0
