day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
1,0,RAINFOREST_RESIN,9992.0,31.0,,,,,10008,31,,,,,10000.0,0.0
1,100,RAINFOREST_RESIN,9992.0,27.0,,,,,10008,27,,,,,10000.0,0.0
1,200,RAINFOREST_RESIN,10001.0,1.0,9992.0,25.0,,,10008,25,,,,,10004.5,0.0
1,300,RAINFOREST_RESIN,10001.0,1.0,9992.0,32.0,,,10008,32,,,,,10004.5,0.0
1,400,RAINFOREST_RESIN,9992.0,28.0,,,,,10003,6,10008.0,28.0,,,9997.5,0.0
1,500,RAINFOREST_RESIN,9992.0,34.0,,,,,10008,34,,,,,10000.0,0.0
1,600,RAINFOREST_RESIN,9997.0,3.0,9992.0,27.0,,,10008,27,,,,,10002.5,0.0
1,700,RAINFOREST_RESIN,9992.0,33.0,,,,,10008,33,,,,,10000.0,0.0
1,800,RAINFOREST_RESIN,9992.0,35.0,,,,,10008,35,,,,,10000.0,0.0
1,900,RAINFOREST_RESIN,9992.0,27.0,,,,,9997,11,10008.0,27.0,,,9994.5,0.0
1,1000,RAINFOREST_RESIN,9992.0,29.0,,,,,10008,29,,,,,10000.0,0.0
1,1100,RAINFOREST_RESIN,9992.0,28.0,,,,,10008,28,,,,,10000.0,0.0
1,1200,RAINFOREST_RESIN,9992.0,32.0,,,,,10008,32,,,,,10000.0,0.0
1,1300,RAINFOREST_RESIN,9992.0,32.0,,,,,10008,32,,,,,10000.0,0.0
1,1400,RAINFOREST_RESIN,10001.0,1.0,9992.0,28.0,,,10008,28,,,,,10004.5,0.0
1,1500,RAINFOREST_RESIN,9997.0,2.0,9992.0,28.0,,,10008,28,,,,,10002.5,0.0
1,1600,RAINFOREST_RESIN,9992.0,26.0,,,,,10008,26,,,,,10000.0,0.0
1,1700,RAINFOREST_RESIN,9992.0,35.0,,,,,10008,35,,,,,10000.0,0.0
1,1800,RAINFOREST_RESIN,10002.0,3.0,9992.0,29.0,,,10008,29,,,,,10005.0,0.0
1,1900,RAINFOREST_RESIN,9992.0,27.0,,,,,10008,27,,,,,10000.0,0.0
1,2000,RAINFOREST_RESIN,9992.0,34.0,,,,,10008,34,,,,,10000.0,0.0
1,2100,RAINFOREST_RESIN,9992.0,25.0,,,,,10008,25,,,,,10000.0,0.0
1,2200,RAINFOREST_RESIN,9992.0,30.0,,,,,10008,30,,,,,10000.0,0.0
1,2300,RAINFOREST_RESIN,9992.0,27.0,,,,,10008,27,,,,,10000.0,0.0
1,2400,RAINFOREST_RESIN,9992.0,33.0,,,,,10008,33,,,,,10000.0,0.0
1,2500,RAINFOREST_RESIN,9997.0,5.0,9992.0,28.0,,,10008,28,,,,,10002.5,0.0
1,2600,RAINFOREST_RESIN,9992.0,33.0,,,,,10008,33,,,,,10000.0,0.0
1,2700,RAINFOREST_RESIN,10001.0,1.0,9992.0,34.0,,,10008,34,,,,,10004.5,0.0
1,2800,RAINFOREST_RESIN,9997.0,2.0,9992.0,28.0,,,10008,28,,,,,10002.5,0.0
1,2900,RAINFOREST_RESIN,9992.0,28.0,,,,,10008,28,,,,,10000.0,0.0
1,3000,RAINFOREST_RESIN,9992.0,30.0,,,,,10008,30,,,,,10000.0,0.0
1,3100,RAINFOREST_RESIN,9992.0,35.0,,,,,10008,35,,,,,10000.0,0.0
1,3200,RAINFOREST_RESIN,10003.0,3.0,9992.0,27.0,,,10008,27,,,,,10005.5,0.0
1,3300,RAINFOREST_RESIN,9992.0,29.0,,,,,10008,29,,,,,10000.0,0.0
1,3400,RAINFOREST_RESIN,9992.0,32.0,,,,,9998,3,10008.0,32.0,,,9995.0,0.0
1,3500,RAINFOREST_RESIN,9992.0,25.0,,,,,10008,25,,,,,10000.0,0.0
1,3600,RAINFOREST_RESIN,9992.0,27.0,,,,,10008,27,,,,,10000.0,0.0
1,3700,RAINFOREST_RESIN,9992.0,28.0,,,,,9999,1,10008.0,28.0,,,9995.5,0.0
1,3800,RAINFOREST_RESIN,9992.0,35.0,,,,,10008,35,,,,,10000.0,0.0
1,3900,RAINFOREST_RESIN,9992.0,35.0,,,,,10008,35,,,,,10000.0,0.0
1,4000,RAINFOREST_RESIN,9997.0,6.0,9992.0,30.0,,,10008,30,,,,,10002.5,0.0
1,4100,RAINFOREST_RESIN,9997.0,2.0,9992.0,34.0,,,10008,34,,,,,10002.5,0.0
1,4200,RAINFOREST_RESIN,9992.0,25.0,,,,,10008,25,,,,,10000.0,0.0
1,4300,RAINFOREST_RESIN,9992.0,26.0,,,,,10008,26,,,,,10000.0,0.0
1,4400,RAINFOREST_RESIN,9992.0,30.0,,,,,10008,30,,,,,10000.0,0.0
1,4500,RAINFOREST_RESIN,9992.0,34.0,,,,,10008,34,,,,,10000.0,0.0
1,4600,RAINFOREST_RESIN,9992.0,31.0,,,,,10008,31,,,,,10000.0,0.0
1,4700,RAINFOREST_RESIN,9992.0,27.0,,,,,10008,27,,,,,10000.0,0.0
1,4800,RAINFOREST_RESIN,9992.0,25.0,,,,,9999,1,10008.0,25.0,,,9995.5,0.0
1,4900,RAINFOREST_RESIN,9997.0,7.0,9992.0,28.0,,,10008,28,,,,,10002.5,0.0
1,5000,RAINFOREST_RESIN,9992.0,27.0,,,,,10008,27,,,,,10000.0,0.0
1,5100,RAINFOREST_RESIN,9992.0,28.0,,,,,10008,28,,,,,10000.0,0.0
1,5200,RAINFOREST_RESIN,9992.0,35.0,,,,,10008,35,,,,,10000.0,0.0
1,5300,RAINFOREST_RESIN,9992.0,29.0,,,,,9997,12,10008.0,29.0,,,9994.5,0.0
1,5400,RAINFOREST_RESIN,9992.0,25.0,,,,,10008,25,,,,,10000.0,0.0
1,5500,RAINFOREST_RESIN,9992.0,32.0,,,,,10008,32,,,,,10000.0,0.0
1,5600,RAINFOREST_RESIN,9992.0,34.0,,,,,10003,7,10008.0,34.0,,,9997.5,0.0
