timestamp,buyer,seller,symbol,currency,price,quantity
0,Caesar,Paris,CROISSANTS,SEASHELLS,4265.0,8
200,Paris,Caesar,CROISSANTS,SEASHELLS,4266.0,8
600,Paris,Caesar,CROISSANTS,SEASHELLS,4266.0,5
1600,Caesar,Paris,CROISSANTS,SEASHELLS,4267.0,8
5000,Caesar,Camilla,CROISSANTS,SEASHELLS,4267.0,4
6400,Paris,Caesar,CROISSANTS,SEASHELLS,4266.0,8
7100,Caesar,Camilla,CROISSANTS,SEASHELLS,4266.0,7
7200,Caesar,Camilla,CROISSANTS,SEASHELLS,4267.0,5
7900,Caesar,Paris,CROISSANTS,SEASHELLS,4267.0,8
10000,Caesar,Paris,CROISSANTS,SEASHELLS,4269.0,8
12700,Caesar,Paris,CROISSANTS,SEASHELLS,4266.0,7
13700,Caesar,Paris,CROISSANTS,SEASHELLS,4267.0,7
14200,Caesar,Paris,CROISSANTS,SEASHELLS,4268.0,6
14400,Caesar,Camilla,CROISSANTS,SEASHELLS,4268.0,9
14800,Caesar,Camilla,CROISSANTS,SEASHELLS,4267.0,10
15000,Caesar,Paris,CROISSANTS,SEASHELLS,4267.0,5
15800,Paris,Caesar,CROISSANTS,SEASHELLS,4267.0,7
16900,Paris,Caesar,CROISSANTS,SEASHELLS,4266.0,5
19000,Caesar,Paris,CROISSANTS,SEASHELLS,4265.0,7
19900,Caesar,Paris,CROISSANTS,SEASHELLS,4263.0,5
20300,Paris,Caesar,CROISSANTS,SEASHELLS,4264.0,6
21600,Caesar,Paris,CROISSANTS,SEASHELLS,4264.0,8
21800,Paris,Caesar,CROISSANTS,SEASHELLS,4265.0,7
24400,Caesar,Camilla,CROISSANTS,SEASHELLS,4263.0,9
25800,Paris,Caesar,CROISSANTS,SEASHELLS,4265.0,8
26800,Caesar,Camilla,CROISSANTS,SEASHELLS,4264.0,8
27900,Caesar,Paris,CROISSANTS,SEASHELLS,4264.0,8
30800,Caesar,Paris,CROISSANTS,SEASHELLS,4266.0,6
32600,Caesar,Camilla,CROISSANTS,SEASHELLS,4269.0,9
33200,Caesar,Camilla,CROISSANTS,SEASHELLS,4268.0,9
34700,Paris,Caesar,CROISSANTS,SEASHELLS,4271.0,5
35400,Paris,Caesar,CROISSANTS,SEASHELLS,4271.0,5
37000,Paris,Caesar,CROISSANTS,SEASHELLS,4270.0,7
37400,Caesar,Camilla,CROISSANTS,SEASHELLS,4268.0,7
39600,Paris,Caesar,CROISSANTS,SEASHELLS,4273.0,6
39900,Caesar,Paris,CROISSANTS,SEASHELLS,4272.0,6
40500,Paris,Caesar,CROISSANTS,SEASHELLS,4272.0,5
41600,Paris,Caesar,CROISSANTS,SEASHELLS,4269.0,8
42200,Caesar,Paris,CROISSANTS,SEASHELLS,4267.0,6
43200,Caesar,Paris,CROISSANTS,SEASHELLS,4267.0,8
44100,Caesar,Paris,CROISSANTS,SEASHELLS,4266.0,7
46500,Caesar,Paris,CROISSANTS,SEASHELLS,4265.0,5
46800,Paris,Caesar,CROISSANTS,SEASHELLS,4266.0,6
47200,Caesar,Paris,CROISSANTS,SEASHELLS,4265.0,7
47700,Caesar,Paris,CROISSANTS,SEASHELLS,4265.0,5
47800,Paris,Caesar,CROISSANTS,SEASHELLS,4266.0,7
49200,Caesar,Paris,CROISSANTS,SEASHELLS,4265.0,8
49600,Caesar,Camilla,CROISSANTS,SEASHELLS,4266.0,6
50500,Caesar,Camilla,CROISSANTS,SEASHELLS,4265.0,6
53400,Caesar,Paris,CROISSANTS,SEASHELLS,4266.0,6
53900,Caesar,Paris,CROISSANTS,SEASHELLS,4265.0,7
55100,Caesar,Paris,CROISSANTS,SEASHELLS,4264.0,7
55200,Paris,Caesar,CROISSANTS,SEASHELLS,4265.0,5
56100,Paris,Caesar,CROISSANTS,SEASHELLS,4266.0,8
59200,Caesar,Paris,CROISSANTS,SEASHELLS,4265.0,6
59800,Caesar,Paris,CROISSANTS,SEASHELLS,4265.0,8
61200,Caesar,Camilla,CROISSANTS,SEASHELLS,4265.0,10
64100,Paris,Caesar,CROISSANTS,SEASHELLS,4265.0,6
65100,Caesar,Camilla,CROISSANTS,SEASHELLS,4263.0,8
65200,Paris,Caesar,CROISSANTS,SEASHELLS,4264.0,5
65300,Paris,Caesar,CROISSANTS,SEASHELLS,4264.0,6
65400,Paris,Caesar,CROISSANTS,SEASHELLS,4264.0,8
65500,Paris,Caesar,CROISSANTS,SEASHELLS,4264.0,5
68400,Paris,Caesar,CROISSANTS,SEASHELLS,4265.0,6
69800,Caesar,Paris,CROISSANTS,SEASHELLS,4263.0,5
70600,Paris,Caesar,CROISSANTS,SEASHELLS,4266.0,8
71100,Paris,Caesar,CROISSANTS,SEASHELLS,4266.0,5
71500,Caesar,Camilla,CROISSANTS,SEASHELLS,4266.0,10
72400,Caesar,Camilla,CROISSANTS,SEASHELLS,4267.0,5
72600,Caesar,Paris,CROISSANTS,SEASHELLS,4267.0,7
74400,Caesar,Camilla,CROISSANTS,SEASHELLS,4266.0,6
74400,Paris,Caesar,CROISSANTS,SEASHELLS,4267.0,5
75100,Caesar,Paris,CROISSANTS,SEASHELLS,4266.0,6
