day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
2,0,DJEMBES,13419.0,62.0,,,,,13420.0,62.0,,,,,13419.5,0.0
2,100,DJEMBES,13419.0,20.0,13418.0,47.0,,,13420.0,67.0,,,,,13419.5,0.0
2,200,DJEMBES,13419.0,20.0,13418.0,45.0,,,13420.0,65.0,,,,,13419.5,0.0
2,300,DJEMBES,13419.0,62.0,,,,,13420.0,62.0,,,,,13419.5,0.0
2,400,DJEMBES,13419.0,68.0,,,,,13420.0,30.0,13421.0,38.0,,,13419.5,0.0
2,500,DJEMBES,13419.0,57.0,,,,,13420.0,20.0,13421.0,37.0,,,13419.5,0.0
2,600,DJEMBES,13419.0,66.0,,,,,13420.0,66.0,,,,,13419.5,0.0
2,700,DJEMBES,13419.0,62.0,,,,,13421.0,62.0,,,,,13420.0,0.0
2,800,DJEMBES,13419.0,60.0,,,,,13421.0,60.0,,,,,13420.0,0.0
2,900,DJEMBES,13419.0,6.0,13418.0,65.0,,,13420.0,65.0,,,,,13419.5,0.0
2,1000,DJEMBES,13418.0,78.0,,,,,13419.0,30.0,13420.0,48.0,,,13418.5,0.0
2,1100,DJEMBES,13418.0,63.0,,,,,13419.0,27.0,13420.0,36.0,,,13418.5,0.0
2,1200,DJEMBES,13418.0,56.0,,,,,13420.0,56.0,,,,,13419.0,0.0
2,1300,DJEMBES,13416.0,52.0,,,,,13417.0,52.0,,,,,13416.5,0.0
2,1400,DJEMBES,13415.0,56.0,,,,,13416.0,23.0,13417.0,33.0,,,13415.5,0.0
2,1500,DJEMBES,13414.0,66.0,,,,,13415.0,66.0,,,,,13414.5,0.0
2,1600,DJEMBES,13415.0,70.0,,,,,13417.0,70.0,,,,,13416.0,0.0
2,1700,DJEMBES,13416.0,75.0,,,,,13417.0,75.0,,,,,13416.5,0.0
2,1800,DJEMBES,13416.0,45.0,,,,,13418.0,45.0,,,,,13417.0,0.0
2,1900,DJEMBES,13415.0,30.0,13414.0,38.0,,,13416.0,68.0,,,,,13415.5,0.0
2,2000,DJEMBES,13415.0,56.0,,,,,13417.0,56.0,,,,,13416.0,0.0
2,2100,DJEMBES,13416.0,5.0,13415.0,45.0,,,13417.0,45.0,,,,,13416.5,0.0
2,2200,DJEMBES,13416.0,58.0,,,,,13417.0,58.0,,,,,13416.5,0.0
2,2300,DJEMBES,13416.0,66.0,,,,,13417.0,66.0,,,,,13416.5,0.0
2,2400,DJEMBES,13416.0,28.0,13415.0,30.0,,,13417.0,58.0,,,,,13416.5,0.0
2,2500,DJEMBES,13416.0,56.0,,,,,13418.0,56.0,,,,,13417.0,0.0
2,2600,DJEMBES,13417.0,74.0,,,,,13419.0,74.0,,,,,13418.0,0.0
2,2700,DJEMBES,13417.0,78.0,,,,,13418.0,78.0,,,,,13417.5,0.0
2,2800,DJEMBES,13419.0,75.0,,,,,13420.0,22.0,13421.0,42.0,,,13419.5,0.0
2,2900,DJEMBES,13419.0,26.0,13418.0,40.0,,,13420.0,66.0,,,,,13419.5,0.0
2,3000,DJEMBES,13418.0,48.0,,,,,13419.0,16.0,13420.0,32.0,,,13418.5,0.0
2,3100,DJEMBES,13418.0,62.0,,,,,13419.0,62.0,,,,,13418.5,0.0
2,3200,DJEMBES,13418.0,61.0,,,,,13420.0,61.0,,,,,13419.0,0.0
2,3300,DJEMBES,13418.0,63.0,,,,,13419.0,63.0,,,,,13418.5,0.0
2,3400,DJEMBES,13419.0,22.0,13418.0,41.0,,,13420.0,63.0,,,,,13419.5,0.0
2,3500,DJEMBES,13420.0,78.0,,,,,13421.0,78.0,,,,,13420.5,0.0
2,3600,DJEMBES,13419.0,61.0,,,,,13420.0,61.0,,,,,13419.5,0.0
2,3700,DJEMBES,13419.0,59.0,,,,,13421.0,59.0,,,,,13420.0,0.0
2,3800,DJEMBES,13420.0,25.0,13419.0,35.0,,,13421.0,60.0,,,,,13420.5,0.0
2,3900,DJEMBES,13421.0,63.0,,,,,13422.0,63.0,,,,,13421.5,0.0
2,4000,DJEMBES,13421.0,52.0,,,,,13422.0,52.0,,,,,13421.5,0.0
2,4100,DJEMBES,13421.0,57.0,,,,,13422.0,19.0,13423.0,38.0,,,13421.5,0.0
2,4200,DJEMBES,13421.0,53.0,,,,,13422.0,16.0,13423.0,32.0,,,13421.5,0.0
2,4300,DJEMBES,13424.0,24.0,13423.0,48.0,,,13425.0,72.0,,,,,13424.5,0.0
2,4400,DJEMBES,13424.0,64.0,,,,,13425.0,64.0,,,,,13424.5,0.0
2,4500,DJEMBES,13423.0,66.0,,,,,13425.0,66.0,,,,,13424.0,0.0
