timestamp,buyer,seller,symbol,currency,price,quantity
200,Paris,Charlie,KELP,SEASHELLS,2046.0,1
300,Charlie,Paris,KELP,SEASHELLS,2044.0,1
500,Paris,Charlie,KELP,SEASHELLS,2047.0,2
900,Charlie,Gary,KELP,SEASHELLS,2043.0,8
1200,Camilla,Paris,KELP,SEASHELLS,2043.0,1
1500,Charlie,Paris,KELP,SEASHELLS,2044.0,1
3200,Paris,Camilla,KELP,SEASHELLS,2045.0,2
3700,Charlie,Pablo,KELP,SEASHELLS,2044.0,5
4600,Paris,Charlie,KELP,SEASHELLS,2046.0,1
4700,Penelope,Charlie,KELP,SEASHELLS,2047.0,4
4900,Paris,Charlie,KELP,SEASHELLS,2047.0,2
5400,Charlie,Pablo,KELP,SEASHELLS,2044.0,5
5700,Gary,Charlie,KELP,SEASHELLS,2047.0,14
5800,Gary,Charlie,KELP,SEASHELLS,2047.0,14
5900,Gary,Charlie,KELP,SEASHELLS,2047.0,12
5900,Pablo,Paris,KELP,SEASHELLS,2045.0,1
6100,Charlie,Pablo,KELP,SEASHELLS,2044.0,5
6100,Gary,Camilla,KELP,SEASHELLS,2046.0,8
7400,Charlie,Paris,KELP,SEASHELLS,2044.0,1
7800,Paris,Charlie,KELP,SEASHELLS,2046.0,1
9400,Charlie,Paris,KELP,SEASHELLS,2044.0,1
9600,Paris,Paris,KELP,SEASHELLS,2046.0,1
9900,Paris,Caesar,KELP,SEASHELLS,2046.0,1
9900,Charlie,Caesar,KELP,SEASHELLS,2045.0,5
10500,Camilla,Paris,KELP,SEASHELLS,2044.0,2
10600,Paris,Camilla,KELP,SEASHELLS,2046.0,1
11700,Charlie,Caesar,KELP,SEASHELLS,2045.0,3
12100,Paris,Camilla,KELP,SEASHELLS,2046.0,1
12200,Camilla,Paris,KELP,SEASHELLS,2044.0,1
12300,Charlie,Pablo,KELP,SEASHELLS,2044.0,3
12400,Charlie,Paris,KELP,SEASHELLS,2044.0,1
12900,Penelope,Charlie,KELP,SEASHELLS,2048.0,6
13700,Pablo,Camilla,KELP,SEASHELLS,2047.0,3
13900,Charlie,Paris,KELP,SEASHELLS,2045.0,1
13900,Penelope,Camilla,KELP,SEASHELLS,2047.0,3
14000,Charlie,Penelope,KELP,SEASHELLS,2045.0,15
14100,Pablo,Charlie,KELP,SEASHELLS,2047.0,4
14500,Charlie,Pablo,KELP,SEASHELLS,2046.0,5
14700,Paris,Charlie,KELP,SEASHELLS,2047.0,1
15000,Paris,Charlie,KELP,SEASHELLS,2047.0,1
15200,Camilla,Pablo,KELP,SEASHELLS,2045.0,2
15200,Charlie,Pablo,KELP,SEASHELLS,2045.0,1
15500,Camilla,Paris,KELP,SEASHELLS,2045.0,1
16100,Camilla,Paris,KELP,SEASHELLS,2045.0,1
16300,Paris,Camilla,KELP,SEASHELLS,2047.0,1
16400,Gary,Caesar,KELP,SEASHELLS,2048.0,1
16400,Gary,Charlie,KELP,SEASHELLS,2048.0,8
16700,Paris,Charlie,KELP,SEASHELLS,2048.0,2
17900,Paris,Charlie,KELP,SEASHELLS,2047.0,1
18000,Paris,Paris,KELP,SEASHELLS,2047.0,1
18600,Charlie,Paris,KELP,SEASHELLS,2045.0,1
18700,Paris,Charlie,KELP,SEASHELLS,2047.0,1
19000,Paris,Camilla,KELP,SEASHELLS,2047.0,1
19100,Caesar,Pablo,KELP,SEASHELLS,2045.0,1
19100,Charlie,Pablo,KELP,SEASHELLS,2045.0,1
19200,Paris,Camilla,KELP,SEASHELLS,2046.0,1
19300,Gary,Charlie,KELP,SEASHELLS,2048.0,10
19500,Caesar,Paris,KELP,SEASHELLS,2045.0,1
19500,Charlie,Paris,KELP,SEASHELLS,2045.0,1
19700,Caesar,Paris,KELP,SEASHELLS,2045.0,1
19700,Caesar,Penelope,KELP,SEASHELLS,2045.0,1
19700,Charlie,Penelope,KELP,SEASHELLS,2045.0,14
20000,Paris,Camilla,KELP,SEASHELLS,2047.0,1
20100,Paris,Charlie,KELP,SEASHELLS,2048.0,2
20300,Charlie,Paris,KELP,SEASHELLS,2045.0,1
21300,Paris,Charlie,KELP,SEASHELLS,2047.0,1
21700,Paris,Camilla,KELP,SEASHELLS,2047.0,1
21800,Gina,Charlie,KELP,SEASHELLS,2047.0,10
21900,Charlie,Gary,KELP,SEASHELLS,2045.0,13
22000,Charlie,Pablo,KELP,SEASHELLS,2045.0,3
22600,Gina,Camilla,KELP,SEASHELLS,2047.0,2
22600,Gina,Charlie,KELP,SEASHELLS,2047.0,5
22700,Charlie,Gary,KELP,SEASHELLS,2045.0,11
23700,Paris,Charlie,KELP,SEASHELLS,2048.0,1
