timestamp,buyer,seller,symbol,currency,price,quantity
3900,Caesar,Peter,VOLCANIC_ROCK,SEASHELLS,10217.0,10
5400,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10220.0,7
6100,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10223.0,10
9200,Pablo,Caesar,VOLCANIC_ROCK,SEASHELLS,10227.0,1
9300,Peter,Caesar,VOLCANIC_ROCK,SEASHELLS,10226.0,10
9800,Caesar,Peter,VOLCANIC_ROCK,SEASHELLS,10222.0,8
10400,Caesar,Peter,VOLCANIC_ROCK,SEASHELLS,10219.0,10
10600,Peter,Caesar,VOLCANIC_ROCK,SEASHELLS,10215.0,10
11200,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10214.0,8
11700,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10207.0,7
13400,Peter,Caesar,VOLCANIC_ROCK,SEASHELLS,10200.0,10
15000,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10197.0,6
20300,Caesar,Pablo,VOLCANIC_ROCK,SEASHELLS,10200.0,2
22200,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10211.0,5
23600,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10207.0,6
25800,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10193.0,6
28000,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10196.0,7
29300,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10187.0,5
29900,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10189.0,8
30200,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10188.0,8
32800,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10186.0,8
35400,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10192.0,7
36000,Peter,Caesar,VOLCANIC_ROCK,SEASHELLS,10191.0,9
39700,Caesar,Pablo,VOLCANIC_ROCK,SEASHELLS,10203.0,2
41600,Caesar,Peter,VOLCANIC_ROCK,SEASHELLS,10192.0,7
42200,Peter,Caesar,VOLCANIC_ROCK,SEASHELLS,10196.0,8
43500,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10183.0,7
44800,Pablo,Caesar,VOLCANIC_ROCK,SEASHELLS,10190.0,3
47500,Peter,Caesar,VOLCANIC_ROCK,SEASHELLS,10181.0,10
48300,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10177.0,8
48800,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10169.0,7
49300,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10173.0,5
49600,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10173.0,7
50000,Caesar,Pablo,VOLCANIC_ROCK,SEASHELLS,10170.0,3
50300,Caesar,Peter,VOLCANIC_ROCK,SEASHELLS,10166.0,7
50800,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10168.0,8
54400,Peter,Caesar,VOLCANIC_ROCK,SEASHELLS,10161.0,5
57300,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10161.0,7
59200,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10160.0,5
59500,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10159.0,6
61000,Peter,Caesar,VOLCANIC_ROCK,SEASHELLS,10174.0,6
63900,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10185.0,8
64700,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10189.0,6
65700,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10191.0,10
67500,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10180.0,9
72400,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10185.0,5
74400,Caesar,Peter,VOLCANIC_ROCK,SEASHELLS,10188.0,10
74700,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10188.0,5
75500,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10186.0,5
77000,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10183.0,6
79400,Peter,Caesar,VOLCANIC_ROCK,SEASHELLS,10181.0,7
79800,Caesar,Pablo,VOLCANIC_ROCK,SEASHELLS,10178.0,1
80700,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10186.0,8
82300,Caesar,Pablo,VOLCANIC_ROCK,SEASHELLS,10185.0,3
85500,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10183.0,5
87000,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10172.0,9
89600,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10181.0,6
90400,Caesar,Peter,VOLCANIC_ROCK,SEASHELLS,10175.0,6
90800,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10174.0,9
